FirstName,LastName,Canton,Avatar URL,PartyAbbreviation,Mandate Start,Council Abbreviation
Franziska,Ryser,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3178.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Gabriela,Suter,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3187.jpg,SP,2023-12-04T00:00:00,NR_CH
Gerhard,Pfister,ZG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2623.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Gerhard,Andrey,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3137.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Giorgio,Fonio,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/11505.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Gregor,Rutz,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3030.jpg,SVP,2023-12-04T00:00:00,NR_CH
Greta,Gysin,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3160.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Hannes,Germann,SH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2575.jpg,SVP,2023-12-04T00:00:00,SR_CH
Hans,Wicki,NW,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3054.jpg,FDP,2023-12-04T00:00:00,SR_CH
Hans Jörg,Rüegsegger,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10852.jpg,SVP,2023-12-04T00:00:00,NR_CH
Hans-Peter,Portmann,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3043.jpg,FDP,2023-12-04T00:00:00,NR_CH
Hasan,Candan,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10828.jpg,SP,2023-12-04T00:00:00,NR_CH
Heidi,Z'graggen,UR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3198.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Heinz,Theiler,SZ,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10808.jpg,FDP,2023-12-04T00:00:00,NR_CH
Irène,Kälin,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3119.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Isabelle,Chassot,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3220.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Isabelle,Chappuis,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10817.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Islam,Alijaj,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10812.jpg,SP,2023-12-04T00:00:00,NR_CH
Jacqueline,Badran,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2762.jpg,SP,2023-12-04T00:00:00,NR_CH
Jacqueline,de Quattro,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3149.jpg,FDP,2023-12-04T00:00:00,NR_CH
Jacques,Nicolet,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3089.jpg,SVP,2023-12-04T00:00:00,NR_CH
Jakob,Stark,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3196.jpg,SVP,2023-12-04T00:00:00,SR_CH
Jean,Tschopp,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10827.jpg,SP,2023-12-04T00:00:00,NR_CH
Jean-Luc,Addor,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3055.jpg,SVP,2023-12-04T00:00:00,NR_CH
Jessica,Jaccoud,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10820.jpg,SP,2023-12-04T00:00:00,NR_CH
Johanna,Gapany,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3183.jpg,FDP,2023-12-04T00:00:00,SR_CH
Jon,Pult,GR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3173.jpg,SP,2023-12-04T00:00:00,NR_CH
Josef,Dittli,UR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3052.jpg,FDP,2023-12-04T00:00:00,SR_CH
Jürg,Grossen,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2786.jpg,GLP,2023-12-04T00:00:00,NR_CH
Katharina,Prelicz-Huber,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2732.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Kathrin,Bertschy,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3016.jpg,GLP,2023-12-04T00:00:00,NR_CH
Katja,Christ,BS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3144.jpg,GLP,2023-12-04T00:00:00,NR_CH
Katja,Riem,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10830.jpg,SVP,2023-12-04T00:00:00,NR_CH
Kilian,Baumann,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3139.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Kris,Vietze,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10806.jpg,FDP,2023-12-04T00:00:00,NR_CH
Lars,Guggisberg,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3206.jpg,SVP,2023-12-04T00:00:00,NR_CH
Laurence,Fehlmann Rielle,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3071.jpg,SP,2023-12-04T00:00:00,NR_CH
Laurent,Wehrli,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3100.jpg,FDP,2023-12-04T00:00:00,NR_CH
Leo,Müller,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3012.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Léonore,Porchet,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3172.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Linda,De Ventura,SH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/14105.jpg,SP,2024-12-02T00:00:00,NR_CH
Lorenz,Hess,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2799.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Lorenzo,Quadri,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2752.jpg,Lega,2023-12-04T00:00:00,NR_CH
Lukas,Reimann,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2704.jpg,SVP,2023-12-04T00:00:00,NR_CH
Magdalena,Martullo-Blocher,GR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3085.jpg,SVP,2023-12-04T00:00:00,NR_CH
Maja,Riniker,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3209.jpg,FDP,2023-12-04T00:00:00,NR_CH
Manfred,Bühler,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3063.jpg,SVP,2023-12-04T00:00:00,NR_CH
Manuel,Strupler,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3185.jpg,SVP,2023-12-04T00:00:00,NR_CH
Manuela,Weichelt,ZG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3190.jpg,ALG Zug,2023-12-04T00:00:00,NR_CH
Marc,Jost,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3226.jpg,EVP,2023-12-04T00:00:00,NR_CH
Marcel,Dettling,SZ,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3069.jpg,SVP,2024-05-09T00:00:00,NR_CH
Marcel,Dobler,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3070.jpg,FDP,2023-12-04T00:00:00,NR_CH
Marco,Chiesa,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3067.jpg,SVP,2023-12-04T00:00:00,SR_CH
Marianne,Binder-Keller,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3141.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Marianne,Maret,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3200.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Marie-France,Roth Pasquier,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3176.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Marionna,Schlatter,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3180.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Markus,Ritter,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2754.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Markus,Schnyder,GL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10841.jpg,SVP,2023-12-04T00:00:00,NR_CH
Martin,Bäumle,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2585.jpg,GLP,2023-12-04T00:00:00,NR_CH
Martin,Candinas,GR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2770.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Martin,Schmid,GR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2783.jpg,FDP,2023-12-04T00:00:00,SR_CH
Martin,Haab,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3134.jpg,SVP,2023-12-04T00:00:00,NR_CH
Martin,Hübscher,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10831.jpg,SVP,2023-12-04T00:00:00,NR_CH
